Office Name,Phone,Street Address,City,State,ZIP,Full Address
Apex,919-466-7000,966 US-64,Apex,NC,27523,"966 US-64, Apex, NC 27523"
Ashland,804-798-2776,130 Thompson Street,Ashland,VA,23005,"130 Thompson Street, Ashland, VA 23005"
Benson,919-207-2077,"12330 Highway 210, Suite 115",Benson,NC,27504,"12330 Highway 210, Suite 115, Benson, NC 27504"
Burlington,336-331-7002,3735 S Church St #101,Burlington,NC,27215,"3735 S Church St #101, Burlington, NC 27215"
Carolina Shores/Calabash,910-292-8428,9869 Ocean Hwy W Suite 1 & 2,Carolina Shores,NC,28467,"9869 Ocean Hwy W Suite 1 & 2, Carolina Shores, NC 28467"
Cary Dentistry for Kids,919-851-0011,1000 Crescent Green #200,Cary,NC,27518,"1000 Crescent Green #200, Cary, NC 27518"
Cary Family - Crescent Green,919-858-0088,1000 Crescent Green #202,Cary,NC,27518,"1000 Crescent Green #202, Cary, NC 27518"
Cary Orthodontics,919-466-0909,1203 NW Maynard Rd #1A,Cary,NC,27513,"1203 NW Maynard Rd #1A, Cary, NC 27513"
Cary West,919-858-0088,1203 NW Maynard Rd #1A,Cary,NC,27513,"1203 NW Maynard Rd #1A, Cary, NC 27513"
Charlotte - Independence,980-265-3180,6316 E Independence Blvd,Charlotte,NC,28212,"6316 E Independence Blvd, Charlotte, NC 28212"
Charlotte University,704-248-8327,8320 University Executive Park Dr Suite A,Charlotte,NC,28262,"8320 University Executive Park Dr Suite A, Charlotte, NC 28262"
Charlotte - Williams Pond,704-542-6090,7940 Williams Pond Ln # 200,Charlotte,NC,28277,"7940 Williams Pond Ln # 200, Charlotte, NC 28277"
Chesapeake,757-488-3392,4107 Portsmouth Blvd #107,Chesapeake,VA,23321,"4107 Portsmouth Blvd #107, Chesapeake, VA 23321"
Chester Specialty,804-533-7433,"2930 W Hundred Road, Suite B",Chester,VA,23831,"2930 W Hundred Road, Suite B, Chester, VA 23831"
Clayton,919-550-5251,31 Oleander Dr,Clayton,NC,27527,"31 Oleander Dr, Clayton, NC 27527"
Clayton Orthodontics,919-296-1700,31 Oleander Dr,Clayton,NC,27527,"31 Oleander Dr, Clayton, NC 27527"
Clemmons,336-331-9368,4168 Clemmons Rd,Clemmons,NC,27012,"4168 Clemmons Rd, Clemmons, NC 27012"
Colonial Heights,804-520-4088,"456 Charles H. Dimmock Pkwy, Suite #5",Colonial Heights,VA,23834,"456 Charles H. Dimmock Pkwy, Suite #5, Colonial Heights, VA 23834"
Columbia,803-212-0387,"9007 Two Notch Road, Suite B",Columbia,SC,29223,"9007 Two Notch Road, Suite B, Columbia, SC 29223"
Concord,704-461-0707,40 Pitts School Road SW,Concord,NC,28027,"40 Pitts School Road SW, Concord, NC 28027"
Crewe,434-645-7558,600 W. Virginia Ave,Crewe,VA,23930,"600 W. Virginia Ave, Crewe, VA 23930"
Crozet,434-823-2290,325 Four Leaf Ln #10,Charlottesville,VA,22903,"325 Four Leaf Ln #10, Charlottesville, VA 22903"
Durham,919-246-9057,1125 NC-54 #807,Durham,NC,27707,"1125 NC-54 #807, Durham, NC 27707"
Fayetteville-Raeford,910-864-2400,6950 Nexus Ct,Fayetteville,NC,28304,"6950 Nexus Ct, Fayetteville, NC 28304"
Fort Mill,803-228-7380,"360 Fort Mill Parkway, Suite 101",Fort Mill,SC,29715,"360 Fort Mill Parkway, Suite 101, Fort Mill, SC 29715"
Garner,919-661-6161,5638 Veterans Pkwy #214,Garner,NC,27529,"5638 Veterans Pkwy #214, Garner, NC 27529"
Garner Orthodontics and Pediatric,919-772-1463,5638 Veterans Pkwy Suite 109,Garner,NC,27529,"5638 Veterans Pkwy Suite 109, Garner, NC 27529"
Goldsboro,919-731-2331,2702 Medical Office Pl,Goldsboro,NC,27534,"2702 Medical Office Pl, Goldsboro, NC 27534"
Greensboro,336-854-2990,604 Dolley Madison Rd,Greensboro,NC,27410,"604 Dolley Madison Rd, Greensboro, NC 27410"
Hampstead,910-270-3602,43 Shuckin St Suite 104,Hampstead,NC,28443,"43 Shuckin St Suite 104, Hampstead, NC 28443"
Harrisburg,980-825-7382,"13470 Plaza Rd Extension, Suite 100",Charlotte,NC,28215,"13470 Plaza Rd Extension, Suite 100, Charlotte, NC 28215"
High Point,336-841-0000,"2783 NC-68, Suite 107",High Point,NC,27265,"2783 NC-68, Suite 107, High Point, NC 27265"
Holly Ridge,910-329-8191,200 US-17 N,Holly Ridge,NC,28445,"200 US-17 N, Holly Ridge, NC 28445"
Kannapolis,704-938-4211,1829 S Ridge Ave,Kannapolis,NC,28083,"1829 S Ridge Ave, Kannapolis, NC 28083"
Kenbridge,434-676-8023,202 E. 5th Ave.,Kenbridge,VA,23944,"202 E. 5th Ave., Kenbridge, VA 23944"
Knightdale,919-266-6999,1001 Widewaters Parkway,Knightdale,NC,27545,"1001 Widewaters Parkway, Knightdale, NC 27545"
Knightdale Orthodontics,919-930-8550,1001 Widewaters Parkway,Knightdale,NC,27545,"1001 Widewaters Parkway, Knightdale, NC 27545"
Leland,910-663-1223,1215 W Gate Dr STE 180,Leland,NC,28451,"1215 W Gate Dr STE 180, Leland, NC 28451"
Mebane,336-270-2919,1931 NC-119,Mebane,NC,27302,"1931 NC-119, Mebane, NC 27302"
Mechanicsville,804-915-1440,8120 Pleasant Grove Rd Suite 200,Mechanicsville,VA,23116,"8120 Pleasant Grove Rd Suite 200, Mechanicsville, VA 23116"
Midlothian,804-739-3131,2273 Chartermark Drive,Midlothian,VA,23114,"2273 Chartermark Drive, Midlothian, VA 23114"
Mocksville,336-753-6630,191 Cooper Creek Dr Suite 106,Mocksville,NC,27028,"191 Cooper Creek Dr Suite 106, Mocksville, NC 27028"
Monkey Junction Orthodontics,910-392-9101,6132 Carolina Beach Rd Suite 6,Wilmington,NC,28412,"6132 Carolina Beach Rd Suite 6, Wilmington, NC 28412"
Myrtle Beach,843-491-9108,3470 Belle Terre Blvd,Myrtle Beach,SC,29579,"3470 Belle Terre Blvd, Myrtle Beach, SC 29579"
New Bern,252-638-3600,2048 Waterscape Way,New Bern,NC,28562,"2048 Waterscape Way, New Bern, NC 28562"
North Myrtle Beach,843-491-6021,900 Hwy 17 S Suite E,North Myrtle Beach,SC,29582,"900 Hwy 17 S Suite E, North Myrtle Beach, SC 29582"
Oxford,919-693-8922,111 E Industry Dr,Oxford,NC,27565,"111 E Industry Dr, Oxford, NC 27565"
Porters Neck Orthodontics,910-795-1287,8201 Market St Bldg B,Wilmington,NC,28411,"8201 Market St Bldg B, Wilmington, NC 28411"
Raleigh,919-834-4450,3614 Haworth Dr,Raleigh,NC,27609,"3614 Haworth Dr, Raleigh, NC 27609"
Raleigh Falls,919-872-1000,4400 Falls of Neuse Rd #202,Raleigh,NC,27609,"4400 Falls of Neuse Rd #202, Raleigh, NC 27609"
Richmond,804-272-7040,6750 Forest Hill Ave,Richmond,VA,23225,"6750 Forest Hill Ave, Richmond, VA 23225"
Rock Hill,803-992-8283,"2391 Dave Lyle Blvd, Suite 101",Rock Hill,SC,29730,"2391 Dave Lyle Blvd, Suite 101, Rock Hill, SC 29730"
Rocky Mount - Oakwood,252-977-6440,105 Wayfarer Ct,Rocky Mount,NC,27801,"105 Wayfarer Ct, Rocky Mount, NC 27801"
Rocky Mount - Sunset,252-443-0048,3769 Sunset Ave,Rocky Mount,NC,27804,"3769 Sunset Ave, Rocky Mount, NC 27804"
Selma,919-965-2552,1111 S Pollock St,Selma,NC,27576,"1111 S Pollock St, Selma, NC 27576"
Selma Orthodontics,919-561-6082,1111 S Pollock St,Selma,NC,27576,"1111 S Pollock St, Selma, NC 27576"
Shallotte,910-754-7700,301 S Willis Dr #100,Shallotte,NC,28470,"301 S Willis Dr #100, Shallotte, NC 28470"
Southport,910-408-4436,2831 Midway Rd SE Suite 116,Bolivia,NC,28422,"2831 Midway Rd SE Suite 116, Bolivia, NC 28422"
Southport Crossing,910-375-9579,"5021 Southport Crossings Way, Ste 310",Southport,NC,28461,"5021 Southport Crossings Way, Ste 310, Southport, NC 28461"
Suffolk,757-539-1492,2003 Meade Pkwy,Suffolk,VA,23434,"2003 Meade Pkwy, Suffolk, VA 23434"
Wakefield,919-556-6666,13251 Falls of Neuse Rd #141,Raleigh,NC,27614,"13251 Falls of Neuse Rd #141, Raleigh, NC 27614"
Wake Forest,919-556-2997,12244 Wake Union Church Rd,Wake Forest,NC,27587,"12244 Wake Union Church Rd, Wake Forest, NC 27587"
Wilmington - Downtown,910-254-4555,124 Walnut St STE 101,Wilmington,NC,28401,"124 Walnut St STE 101, Wilmington, NC 28401"
Wilmington - Monkey Junction,910-392-9101,6132 Carolina Beach Rd Suite 6,Wilmington,NC,28412,"6132 Carolina Beach Rd Suite 6, Wilmington, NC 28412"
Wilmington - Porters Neck,910-550-1853,8201 Market Street,Wilmington,NC,28411,"8201 Market Street, Wilmington, NC 28411"
Wilmington - The Pointe,910-218-1222,1124 Gallery Pk Blvd Ste 101,Wilmington,NC,28412,"1124 Gallery Pk Blvd Ste 101, Wilmington, NC 28412"
Winston-Salem,336-331-3500,566 S Stratford Road,Winston-Salem,NC,27103,"566 S Stratford Road, Winston-Salem, NC 27103"
